"Rank MSA Population","Name of MSA","Population 2021 Est","Population 2020","Population 2010","Name of CSA","Number of lots available on Zillow","Price of lot for 1%ile by price","Sqft of lot for 1% by price","Lot link for 1%ile by price","Sqft of lot for 10%ile by sqft","Lot Link for 10%ile by size","Number of 1b+1b apartments available on Zillow","Price of 1b+1b apartment for 1%ile by price","Sqft of 1b+1b apartment 1b+1b for 1%ile by price","Apartment 1b+1b link",hud_areaname,"Median rent 1bedroom FY-2023","hud_areaname fy2013","Median rent 1bedroom FY-2013","Rank City Population","Name of Core City","Name of State","population 2021 est","population 2020","Population 2010 ","Area sqkm","Rank MSA GDP","Name of MSA","GDP MSA 2018 in million $","GDP MSA 2017 in million $","State of Core City","MSA median lot sqft","MSA median price per sqft","CoC Number","CoC Name","CoC Category","Overall Homeless, 2019","Unsheltered Homeless, 2019","Urban Area from INRIX","Last Mile speed (mph) 2021","Hours Lost to congestion 2021","Hours Lost to congestion (Pre-covid)"
11,"Boston-Cambridge-Newton MA-NH MSA",4899932,4941632,4552402,"Boston-Worcester-Providence MA-RI-NH-CT CSA",27,275000,6970,https://www.zillow.com/homedetails/233-Metropolitan-Ave-Roslindale-MA-02131/59145399_zpid/,1742,https://www.zillow.com/homedetails/62-Putnam-St-East-Boston-MA-02128/59121930_zpid/,1429,1800,375,https://www.zillow.com/homedetails/Jamaica-Plain-MA-02130/2119203424_zpid/,"Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2368,"Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",1256,24,Boston,Massachusetts,654776,675647,617594,125.1,8,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",463570,439144,"Boston-Cambridge-Newton MA-NH",16988.4,49.02,MA-500,"Boston CoC","Major Cities",6242,121,"Boston MA",15,78,147.16981132075472
12,"Riverside-San Bernardino-Ontario CA MSA",4653105,4599839,4224851,"Los Angeles-Long Beach CA CSA",27,50000,16553,https://www.zillow.com/homedetails/0-Canyon-Ridge-Dr-Riverside-CA-92503/2077022598_zpid/,8276,https://www.zillow.com/homedetails/0-Via-Verrazano-Riverside-CA-92503/2069985551_zpid/,55,1350,936,https://www.zillow.com/homedetails/1054-N-Orange-St-APT-211-Riverside-CA-92501/2093358972_zpid/,"Riverside-San Bernardino-Ontario, CA MSA",1533,"Riverside-San Bernardino-Ontario, CA MSA",879,61,Riverside,California,317261,314998,303871,210.3,20,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)",187109,177061,"Riverside-San Bernardino-Ontario CA",8662,68.87,CA-608,"Riverside City & County CoC","Suburban CoCs",2811,2045,,,,
13,"San Francisco-Oakland-Berkeley CA MSA",4623264,4749008,4335391,"San Jose-San Francisco-Oakland CA CSA",16,485000,6273,https://www.zillow.com/homedetails/285-Edgehill-Way-San-Francisco-CA-94127/125157311_zpid/,1999,https://www.zillow.com/homedetails/101-199-Bradford-St-San-Francisco-CA-94110/184776179_zpid/,1038,1795,650,https://www.zillow.com/homedetails/1040-Howard-St-5-San-Francisco-CA-94103/2079413936_zpid/,"San Francisco, CA HUD Metro FMR Area",3000,"San Francisco, CA HUD Metro FMR Area",1569,17,"San Francisco [h]",California,815201,873965,805235,121.5,4,"San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)",548613,509382,"San Francisco-Oakland-Berkeley CA",6098.4,190.25,CA-501,"San Francisco CoC","Major Cities",8035,5180,"San Francisco CA",14,64,96.96969696969698
14,"Detroit–Warren–Dearborn MI MSA",4365205,4392041,4296250,"Detroit-Warren-Ann Arbor MI CSA",76,2500,3920,https://www.zillow.com/homedetails/7545-Dunedin-St-Detroit-MI-48206/88088259_zpid/,2614,https://www.zillow.com/homedetails/7000-E-McNichols-Rd-Hamtramck-MI-48212/2062627981_zpid/,180,625,550,https://www.zillow.com/homedetails/12635-Dolphin-St-UNIT-5-Detroit-MI-48223/2061562947_zpid/,"Detroit-Warren-Livonia, MI HUD Metro FMR Area",1024,"Detroit-Warren-Livonia, MI HUD Metro FMR Area",674,27,Detroit,Michigan,632464,639111,713777,359.2,14,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",267731,260612,"Detroit-Warren-Dearborn MI",7840.8,23.56,MI-501,"Detroit CoC","Major Cities",1965,86,"Detroit MI",26,13,41.93548387096774
15,"Seattle-Tacoma-Bellevue WA MSA",4011553,4018762,3439809,"Seattle-Tacoma WA CSA",40,36500,2548,https://www.zillow.com/homedetails/8826-3rd-Ave-S-12-Seattle-WA-98108/2062086005_zpid/,2400,https://www.zillow.com/homedetails/910-E-Fir-St-1-Seattle-WA-98122/2062407618_zpid/,1007,1075,220,https://www.zillow.com/homedetails/900-NE-Ravenna-Blvd-11B-Seattle-WA-98115/2068642485_zpid/,"Seattle-Bellevue, WA HUD Metro FMR Area",2011,"Seattle-Bellevue, WA HUD Metro FMR Area",967,18,Seattle,Washington,733919,737015,608660,217,11,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",392036,356572,"Seattle-Tacoma-Bellevue WA",8807.8,96.74,WA-500,"Seattle/King County CoC","Major Cities",11199,5228,"Seattle WA",19,30,73.17073170731707
16,"Minneapolis-St. Paul-Bloomington MN-WI MSA",3690512,3690261,3333633,"Minneapolis-St. Paul MN-WI CSA",11,32500,5227,https://www.zillow.com/homedetails/2420-Golden-Valley-Rd-Minneapolis-MN-55411/101669532_zpid/,3049,https://www.zillow.com/homedetails/3021-25th-St-E-Minneapolis-MN-55406/2022764_zpid/,472,825,490,https://www.zillow.com/homedetails/48-27th-Ave-SE-6-Minneapolis-MN-55414/2070450730_zpid/,"Minneapolis-St. Paul-Bloomington, MN-WI HUD Metro FMR Area",1239,"Minneapolis-St. Paul-Bloomington, MN-WI MSA",781,46,Minneapolis,Minnesota,425336,429954,382578,139.9,15,"Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)",263690,260106,"Minneapolis-St. Paul-Bloomington MN-WI",12196.8,37.71,MN-500,"Minneapolis/Hennepin County CoC","Major Cities",3400,603,"Minneapolis MN",17,18,52.94117647058824
17,"San Diego-Chula Vista-Carlsbad CA MSA",3286069,3298634,3095313,,44,220000,11413,https://www.zillow.com/homedetails/1515-Republic-St-San-Diego-CA-92114/99552897_zpid/,3500,https://www.zillow.com/homedetails/237-S-36th-St-237-San-Diego-CA-92113/2062054813_zpid/,650,1600,425,https://www.zillow.com/homedetails/1135-Hollister-St-12-San-Diego-CA-92154/2061648630_zpid/,"San Diego-Carlsbad, CA MSA",2055,"San Diego-Carlsbad-San Marcos, CA MSA",1140,8,"San Diego",California,1381611,1386932,1307402,844.1,17,"San Diego-Carlsbad, CA (Metropolitan Statistical Area)",245138,231845,"San Diego-Chula Vista-Carlsbad CA",9971,111.15,CA-601,"San Diego City and County CoC","Major Cities",8102,4476,"San Diego CA",23,32,69.56521739130436
18,"Tampa-St. Petersburg-Clearwater FL MSA",3219514,3175275,2783243,,81,59900,6534,https://www.zillow.com/homedetails/5304-E-18th-Ave-Tampa-FL-33619/2061835257_zpid/,4792,https://www.zillow.com/homedetails/3208-E-24th-Ave-Tampa-FL-33605/45100508_zpid/,237,965,500,https://www.zillow.com/homedetails/10006-N-Brooks-St-B-Tampa-FL-33612/2077024244_zpid/,"Tampa-St. Petersburg-Clearwater, FL MSA",1488,"Tampa-St. Petersburg-Clearwater, FL MSA",775,52,Tampa,Florida,387050,384959,335709,295.3,24,"Tampa-St. Petersburg-Clearwater, FL (Metropolitan Statistical Area)",159002,150163,"Tampa-St. Petersburg-Clearwater FL",8276.4,56.85,FL-501,"Tampa/Hillsborough County CoC","Major Cities",1650,672,"Tampa FL",25,21,33.87096774193549
19,"Denver-Aurora-Lakewood CO MSA",2972566,2963821,2543482,"Denver-Aurora CO CSA",28,175000,6700,https://www.zillow.com/homedetails/3660-W-Kentucky-Ave-Denver-CO-80219/13362344_zpid/,3123,https://www.zillow.com/homedetails/1371-Wolff-St-8-Denver-CO-80204/2061584052_zpid/,687,1100,800,https://www.zillow.com/homedetails/103-S-Zenobia-St-Denver-CO-80219/13339906_zpid/,"Denver-Aurora-Lakewood, CO MSA",1665,"Denver-Aurora-Broomfield, CO MSA",774,19,"Denver [i]",Colorado,711463,715522,600158,396.5,18,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)",214157,208868,"Denver-Aurora-Lakewood CO",8146,88.29,CO-503,"Metropolitan Denver CoC","Major Cities",5755,946,"Denver CO",16,40,62.5
20,"Baltimore-Columbia-Towson MD MSA",2838327,2844510,2710489,"Washington-Baltimore-Arlington DC-MD-VA-WV-PA CSA",22,10000,884,https://www.zillow.com/homedetails/1028-N-Patterson-Park-Ave-Baltimore-MD-21205/36451238_zpid/,845,https://www.zillow.com/homedetails/1107-Winchester-St-Baltimore-MD-21217/36510329_zpid/,285,739,651,https://www.zillow.com/homedetails/1118-Cherry-Hill-Rd-1210-C-Brooklyn-MD-21225/2061740951_zpid/,"Baltimore-Columbia-Towson, MD MSA",1359,"Baltimore-Towson, MD HUD Metro FMR Area",1000,30,"Baltimore [m]",Maryland,576498,585708,620961,209.5,19,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",205313,192178,"Baltimore-Columbia-Towson MD",10890,37.62,MD-501,"Baltimore CoC","Major Cities",2294,380,"Baltimore MD",14,37,84.09090909090911
